rank,stadium,capacity,region,country,city,images,home_team,location
38,Los Angeles Memorial Coliseum,78467,North America,United States,"Los Angeles, California",https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/USC_vs_University_of_Oregon_November_2019.png/150px-USC_vs_University_of_Oregon_November_2019.png,USC Trojans,"[34.01391585, -118.2877996255]"
39,Azadi Stadium,78116,West Asia,Iran,Tehran,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Azadi_Stadium_%287%29.jpg/150px-Azadi_Stadium_%287%29.jpg,"Iran national football team, Esteghlal FC, Persepolis FC","[35.7244962, 51.2755487216]"
40,Stadion Utama Gelora Bung Karno,77193,Southeast Asia,Indonesia,Jakarta,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Gbk_persija_arema_20190803.jpg/150px-Gbk_persija_arema_20190803.jpg,"Indonesia national football team,","[-6.21853605, 106.8026353197]"
41,Caesar's Superdome,76468,North America,United States,"New Orleans, Louisiana",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/The_Dome_New_Orleans_Man_Trip.jpg/150px-The_Dome_New_Orleans_Man_Trip.jpg,"New Orleans Saints, Sugar Bowl",
42,Arrowhead Stadium,76412,North America,United States,"Kansas City, Missouri",https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/25_July_2010_Kansas_City_Wizards_vs_Manchester_United_friendly.jpg/150px-25_July_2010_Kansas_City_Wizards_vs_Manchester_United_friendly.jpg,Kansas City Chiefs,"[39.0751128, -78.191289]"
43,Empower Field,76125,North America,United States,Denver,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/SAF_at_Mile_High_AFC_Championship_game_pom-poms.jpg/150px-SAF_at_Mile_High_AFC_Championship_game_pom-poms.jpg,Denver Broncos,"[39.743952, -105.0192228124]"
44,Atatürk Olimpiyat Stadyumu,76092,Europe,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Istanbul_Atat%C3%BCrk_Olympic_Stadium_2.jpg/150px-Istanbul_Atat%C3%BCrk_Olympic_Stadium_2.jpg,,"[41.0744732, 28.7656610517]"
45,Old Trafford,76000,Europe,England,"Manchester, North West England",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Manchester_United_old_trafford_Ank_Kumar_01.jpg/150px-Manchester_United_old_trafford_Ank_Kumar_01.jpg,Manchester United,"[53.46310955, -2.2913864851]"
46,Allianz Arena,75024,Europe,Germany,Munich,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Allainz_Arena_%28Bayern_Munich%29.jpg/150px-Allainz_Arena_%28Bayern_Munich%29.jpg,FC Bayern Munich,"[48.21880845, 11.6246637626]"
47,Naghsh-e-Jahan Stadium,75000,West Asia,Iran,Isfahan,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Naghsh_Jahan_Stadium.jpg/150px-Naghsh_Jahan_Stadium.jpg,Sepahan FC,"[32.74245575, 51.6861810122]"
48,Bank of America Stadium,74867,North America,United States,"Charlotte, North Carolina",https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Bank_of_America_Stadium_soccer.jpg/150px-Bank_of_America_Stadium_soccer.jpg,"Charlotte FC, Carolina Panthers","[35.22579505, -80.8538587791]"
49,Principality Stadium,74500,Europe,Wales,Cardiff,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Millennium_Stadium_-_Glanmor%E2%80%99s_Gap.jpg/150px-Millennium_Stadium_-_Glanmor%E2%80%99s_Gap.jpg,Wales national rugby union team,"[51.47824845, -3.1826255902]"
50,Olympiastadion,74475,Europe,Germany,Berlin,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Berlin_Olympiastadion_nach_Umbau.jpg/150px-Berlin_Olympiastadion_nach_Umbau.jpg,Hertha BSC,"[52.5145846, 13.2398144178]"
